College Name,Region,Region Type,Location,District,Contact Number,Email Address,Website Link,Registrar Name,Registrar Contact Number,Status,Autonomous Status
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mumbai,Rural,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",Ratnagiri,269609,info@rmcet.com,www.rmcet.com,Padmanabh Shelar,269400,Un-Aided,Non-Autonomous
"Atharva College of Engineering,Malad(West),Mumbai",Mumbai,Urban,"S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",Mumbai Suburban,40294907,ace@atharvaeducation.com,www.atharvaeducation.com,ANANDA  KANGANE,40294949,Un-Aided,Non-Autonomous
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai,Urban,"Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",Raigad,27451700,principalpce@mes.ac.in,www.pce.ac.in,P. Kumaran,27456100,Un-Aided,Non-Autonomous
"Don Bosco Institute of Technology, Mumbai",Mumbai,Urban,"Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai ",Mumbai Suburban,25040508,dbit@dbit.in,www.dbit.in,Mr. Rajendra Tatkare,25042018,Un-Aided,Non-Autonomous
"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai,Urban,"Somaiya Auryvihar Complex,  Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",Mumbai Suburban,24061401,principal.tech@somaiya.edu,www.somaiya.edu/vidyavihar/kjsieit,Ankush Gaikwad,24080331,Un-Aided,Non-Autonomous
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai,Urban,"Sri. Chandrsekarendra Saraswathy Vidyapuram, Sector-5, Plot 1C&1E, Nerul Dist. Raigad ",Raigad,61082404,principalgst@sies.edu.in,www.siesgst.edu.in,V.Vijayalakshmi,61082400,Un-Aided,Non-Autonomous
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai,Rural,"At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",Thane,273999,vjtsscoe@rediffmail.com,www.jondhleengg.org,KISHOR JONDHALE,273999,Un-Aided,Non-Autonomous
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai,Rural,"St. John Technical Education Complex, Village Vevoor,Manor Road  Palghar (E)",Palghar,0,office@sjcem.edu.in,www.sjcem.edu.in,MR. SATISH KUMAR TIWARI,297275,Un-Aided,Non-Autonomous
"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur",Mumbai,Rural,"Sapgaon, Taluka Shahapur  Dist. Thane",Thane,40244310,registrar@armiet.com,www.armiet.com,Ankit Suresh Sanghavi,40244310,Un-Aided,Non-Autonomous
"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat",Mumbai,Rural,"Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",Raigad,321524,sesytcem@gmail.com,www.tasgaonkartech.com,vivek dadu sawant,321524,Un-Aided,Non-Autonomous
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Mumbai,Rural,"Shirgaon, At. Post Virar, Tal. Vasai. Thane ",Palghar,7770002544,principalvit@vivacollege.org,www.viva-technology.org,Mr. Mahendra D. Kajare,7770002544,Un-Aided,Non-Autonomous
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai,Rural,"At Village Betegaon,Boisar Chillhar Road , Near Union Park,  Boisar(E), Tal: Palghar,",Palghar,284926,info@theemcoe.org,www.theemcoe.org,SHEETAL PATIL,284909,Un-Aided,Non-Autonomous
"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai,Urban," Pillai HOCL Educational
Campus, Rasayani, Tal. Khalapur. Dist. Raisad-",Raigad,669001,pragneshshah@mes.ac.in,www.phcet.ac.in,Mr.Shirish Mayekar,669000,Un-Aided,Non-Autonomous
"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Mumbai,Urban,"Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",Raigad,229628,principalgvaiet@yahoo.com,www.leelaeducationsociety.org,Swapnil Bafana,229628,Un-Aided,Non-Autonomous
"Bharati Vidyapeeth's Institute of Technology, Navi Mumbai",Mumbai,Urban,"Belpada, C. B. D. SECTOR - 7, OPP. Kharghar Railway Station, Navi Mumbai.",Thane,27580126,bvitmumai@yahoo.com,www.iotmumbai.bharatividyapeeth.edu,Dilip Ganpat Mahadik,27572434,Un-Aided,Non-Autonomous
"Maratha Mandir's Babasaheb Gawade Institute of Technology, Mumbai",Mumbai,Urban,"Maratha Mandir annex,Babasaheb Gawade Chowk,  Mumbai , 400008",Mumbai City,66044100,ajit.parab@mmbgims.com,www.mmbgit.org,Yogesh Sawant,66044100,Un-Aided,Non-Autonomous
"Kala Vidyamandir Institute of Technology (Polytechnic), Malad(W), Mumbai",Mumbai,Urban,"MHADA World Bank project, Plot  No. M3, RSC,Gaekwad Nagar, Malad(W),Mumbai , 400095",Mumbai Suburban,28440012,kvmitprinicipal@rediffmail.com,www.kvmt.co.in,P.T.NALE,28440012,Un-Aided,Non-Autonomous
"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",Mumbai,Urban,"Navghar,Bhayander(E), Thane , 401105",Thane,28044871,info@prppolytechnic.com,www.prppolytechnic.com,MR. RAJESH BHOIR,28044871,Un-Aided,Non-Autonomous
"Saraswati Education Society,Saraswati Institute of Technology, Kharghar, Navi Mumbai",Mumbai,Rural,"Plot No.-46/46A, Behind M.S.E.B.Sub Station, Near Utsav Chowk, Sector-5, Kharghar Navi Mumbai Raigad , 410210",Raigad,27743706,ses.siot.os.09@gmail.com,www.siot.edu.in,Mr. Amar A. Shinde,27743705,Un-Aided,Non-Autonomous
"Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai,Rural,"Kanhor, Badlapur(w).,Tal- Ambernath. Dist. Thane ",Thane,7666615915,info@bharatedu.co.in,www.bharatedu.co.in,Mr. Satish Vishe,2665001,Un-Aided,Non-Autonomous
"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",Mumbai,Rural,"Village At.Mamdapur, Post- Neral, Tal- Karjat,  Dist.Raigadh",Raigad,651806,sumaneducationaltrust@gmail.com,www.driems.in,Mr. Jalindar Shinde,651806,Un-Aided,Non-Autonomous
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai
",Mumbai,Urban,"Survey no. 267, Near Commisioner's Bungalow,Kanakiya Park,Mira Road (E)Thane",Thane,28120145,slrtce@rahuleducation.com,www.slrtce.in,hubale santosh,28120144,Un-Aided,Non-Autonomous
"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Mumbai,Rural,"At.Karav, Post Vangani(w), Tal. Ambernath, Dist. Thane ",Thane,2910193,jsiddhivinayakf@gmail.com,www.brharnetc.edu.in,Shailesh,2910190,Un-Aided,Non-Autonomous
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Mumbai,Urban,"Plot No.2, 3 Sector - 16, Khandgaon, Thane Naka, Panvel Dist. Raigad ",Raigad,27481249,aiktc.newpanvel@gmail.com,www.aiktc.org,Dr. Jamil Daud,27481247,Un-Aided,Non-Autonomous
"G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai,Rural,"At Post Taluka. Tala, Dist. Raigad ",Raigad,269004,gmvedakit@gmail.com,www.gmvit.com,Prof. Satish Jadhav,269004,Un-Aided,Non-Autonomous
"Universal College of Engineering,Kaman Dist. Palghar",Mumbai,Rural,"Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai",Palghar,2210044,moses.lopes@universal.edu.in,www.ucoe.edu.in,Mr. Moses Lopes,69624580,Un-Aided,Non-Autonomous
"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Mumbai,Rural,"At Post Velneshwar, Hedvai-Guhagar Road, Guhagar,Ratnagiri.",Ratnagiri,9527634958,info@vpmmpcoe.org,www.vpmmpcoe.org,Mr. Ravindra Rasal,243101,Un-Aided,Non-Autonomous
"Ideal Institute of Technology, Wada, Dist.Thane",Mumbai,Rural,"40, Pasheri Village, Pimplaj road, Taluka Wada, Dist.Thane. ",Palghar,212144,idealinstituteoftechnology13@gmail.com,www.idealwada.com,Mr. Jugal Mehra ,212144,Un-Aided,Non-Autonomous
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai,Rural,"Survey No. 52 Kumbhivali, On Mumbai-Pune Expressway, Near Khalapur Toll Naka ,Tal-Khalapur, Dist- Raigad",Raigad,274210,mail.vishwaniketan@gmail.com,www.vishwaniketan.edu.in,Mr. H. R. Mavkar,274206,Un-Aided,Non-Autonomous
"New Horizon Institute of Technology & Management, Thane",Mumbai,Urban,"Anand Nagar, Kavesar, Off. Ghodbunder Road, Thane(W)",Thane,25971778,principal@nhitm.ac.in,www.nhitm.ac.in,Mr. Rupesh Pethe,25971778,Un-Aided,Non-Autonomous
"Government College of Engineering, Chandrapur",Nagpur,Urban,"Ballarsha Bypass Road,Chandrapur ",Chandrapur,230299,gcoechandrapur@gmail.com,www.gcoec.ac.in,Smt. S. R. Bhagwat,230478,Government,Non-Autonomous
"Laxminarayan Institute of Technology, Nagpur",Nagpur,Urban,"L.I.T.Premises, Opposite Bharatnagar, Amravati Road, Nagpur",Nagpur,2531659,rajumankar@gmail.com,www.litnagpur.in,Dr. Vinayak Deshpande,2561107,University Department,Non-Autonomous
"Lady Amritbai Daga College for Women of Arts, Comm & Sci &  R.Purohit College of H.Sci & H. Sc. Technology, Nagpur",Nagpur,Urban,"Department of HMCT, L.A.D.  & Smt. R.P.College for Women,  Seminary hills, Shankar Nagar,Nagpur ",Nagpur,2246623,lad_hmct@yahoo.com,hmct.ladcollege.in/,Deepika Reddiwar,2512336,Government-Aided,Non-Autonomous
"Government Institute of Hotel Management & Catering Technology, Nagpur",Nagpur,Urban,"Govt. Polytechnic Campus, Nagpur , 440001",Nagpur,2542725,principahmct_ngp@hotmail.com,www.gihmctngp.org,V. D. Pohane,2544355,Government,Non-Autonomous
"Government College of Engineering, Nagpur",Nagpur,Urban,"Sector-27, Mihan Rehabilitation Colony, Khapari, Nagpur",Nagpur,202011,office.gcoenagpur@dtemaharashtra.gov.in,www.gcoen.ac.in,MR.N. H. BHUJADE,202012,Government,Non-Autonomous
"Shree Shivaji Education Society, Dr. Panjabrao Deshmukh Institute of Management Technology & Research, Nagpur",Nagpur,Urban,"Dept. of Dhanwate National College, Congress Nagar Opp. Ajni Rly Station  Nagpur , 440012",Nagpur,2522759,pdimtrdnc@gmail.com,www.pdimtr.ac.in,Ashok Chandan,2445356,Un-Aided,Non-Autonomous
"Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur,Rural,"K. K. Nagar, Ramtek, Nagpur - 441 106  ",Nagpur,255047,principal@kits.edu,www.kits.edu,Dr. B. Ram Rathan Lal,255309,Un-Aided,Non-Autonomous
"GES Department Of Management Technology N.M.D.PG College Of Arts, Commerce, Law & Management, Gondia ",Nagpur,Urban,"Ramnagar, Gondia   441614",Gondia,252634,dmtr.nmd@rediffmail.com,www.nmdcgmmba.co.in,ARVIND TONDTRE,252682,Un-Aided,Non-Autonomous
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur,Urban,"Gittikhadan, Katola  Road, Nagpur",Nagpur,2583239,deanadmissions@rknec.edu,www.rknec.edu,Prof. Nikhil Shirish Damle,2580011,Un-Aided,Autonomous
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur,Urban,"C.R.P.F. Gate No.3, Digdoh Hills, Hingna Road, Nagpur ",Nagpur,9881713575,principal.ghrce@raisoni.net,www.ghrce.raisoni.net,Dr Sanjay Dorle,9604787184,Un-Aided,Autonomous
G.H. Raisoni Institute of Information Technology,Nagpur,Urban," 37-39/1, SHRADDHA PART, OFF HINGNA-WADI LINK ROAD, MIDC, NAGPUR, MAHARASHTRa 440028",Nagpur,236102,ghriitnag@raisoni.net,ghriit.raisoni.net,Mr. Sushil J. Jadhav,236102,Un-Aided,Non-Autonomous
"Bapurao Deshmukh College of Engineering, Sevagram",Nagpur,Rural,"P.O.Sevagram,Dist-Wardha",Wardha,284030,princi.bdces@gmail.com,www.bdce.edu.in,Mr.G.D.Dhawale,284378,Un-Aided,Non-Autonomous
"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur ",Nagpur,Rural,"Near CRPF Campus, Hingna Road, Nagpur ",Nagpur,244285,mpsingh3712@rediffmail.com,www.pcenagpur.edu.in,Mr. Vijay Athalye,244381,Un-Aided,Non-Autonomous
"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur,Urban,"Near Dighori Naka, Umrer Road, Bhadura, Nagpur",Nagpur,663603,admin@srpce.ac.in,www.srpce.ac.in,Mr. Satish Lanjewar,663603,Un-Aided,Non-Autonomous
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur,Rural,"Khasara No-94,95&164/1,Mauza Dahegaon,Opposite IOC Prtrol Pump,Kalmeshwar, Nagpur",Nagpur,661400,gnietnagpur@gmail.com,www.gniet.ac.in,Mr. Shital V. Likhar,661400,Un-Aided,Non-Autonomous
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur",Nagpur,Rural,"Survey No. 148/149, Salai Godhani, Near Chikna Village, Hudakeshwar Road, Nagpur",Nagpur,2742308,gwcet@rediffmail.com,www.gwcet.ac.in,Mr. Pankaj Kohale,2742308,Un-Aided,Non-Autonomous
"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur,Urban,"846, Nandanvan, Nagpur ",Nagpur,2712490,principaljlcce@gmail.com,www.jlcce.ltjss.net,Mrs.A.V.Kature,2711505,Un-Aided,Non-Autonomous
"Jaidev Education Society, J D College of Engineering and Management, Nagpur ",Nagpur,Rural,"At Khandala, Post Vaini Katol Road, Nagpur",Nagpur,2682619,principal@jdcoem.ac.in,www.jdcoem.ac.in,Dr Ujwala S Dange,2023003,Un-Aided,Non-Autonomous
"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur,Urban,"Kh. No.72, 68/1, 68/2, 68/3, Lonara Dist. Nagpur",Nagpur,2668235,admin@jit.org.in,www.jit.org.in,Mr. SUMEET CHANDEGAVE,2668233,Un-Aided,Non-Autonomous
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur,Rural,"MIDC, Near Facor, Higna Wadi Road, Nagpur ",Nagpur,234501,ghrietn@raisoni.net,www.ghrietn.raisoni.net,Prof. M.J. Katira,234501,Un-Aided,Non-Autonomous
"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur,Urban,"Sr. No.13/2, Mahurzari, Katol Road, Taluka & Dist Nagpur ",Nagpur,9881711787,registrar@nit.edu.in,www.nit.edu.in,Sandeep Kale,9881711787,Un-Aided,Non-Autonomous
"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur,Urban,"Dongargoan, Near Gumgaon Railway Station, Post - Gumgaon, Wardha road, Nagpur",Nagpur,202007,wcem4145@gmail.com,www.wcem.in,Mr. R P Madankar,203728,Un-Aided,Non-Autonomous
"KDK College of Engineering, Umrer, Nagpur",Nagpur,Rural,"State Highway No.9, Opp. W. C. L., Umrer Project, Umrer, Nagpur",Nagpur,247823,dratulcwaghmare@rediffmail.com,www.ucoe.org.in,Mr. Ajay  Dhanvijay,247317,Un-Aided,Non-Autonomous
"K.D.K. College of Engineering, Nagpur",Nagpur,Urban," Great Nag Road, Nandanvan, Nagpur",Nagpur,2711400,kdkce4147@gmail.com,www.kdkce.edu.in,Anant B. Bute,2710030,Un-Aided,Non-Autonomous
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur,Rural,"Kh. No. 8/1, Mohgaon,Wardha Road,Nagpur ",Nagpur,6648252,vidarbhabuss@yahoo.co.in,www.tgpcet.com,SANDEEP PALSODKAR,645410,Un-Aided,Non-Autonomous
Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Nagpur,Urban,Ballarpur Road Babupeth Dist. Chandrapur,Chandrapur,225286,principal@rcert.ac.in,www.rcert.ac.in, R. S. Chilbule,225168,Un-Aided,Non-Autonomous
"Gondia Education Society's Manoharbhai Patel Institute of Engineering and Technology, Gondia",Nagpur,Rural,"Kudwa,  Dist. Gondia ",Gondia,252158,principal_miet@rediffmail.com,www.mietgondia.in,Mr. W.N.Sahare,252033,Un-Aided,Non-Autonomous
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur,Rural,"Hingna Road, Wanadongri, Nagpur  441110",Nagpur,329250,principal@ycce.edu,www.ycce.edu,DR. P. K. DAKHOLE,242919,Un-Aided,Autonomous
"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Nagpur,Urban,"Mouza Shivangaon , Khasara, 1/1A, 1909/12C, Near CRPF Campus, Hingna Road, Nagpur",Nagpur,244470,viveknanoti@gmail.com,www.piet.ltjss.net,Mr. Abhaykumar Das,244463,Un-Aided,Non-Autonomous
"Anjuman College of Engineering & Technology, Nagpur",Nagpur,Urban,"Mangalwari Bazar Road, Sadar, Nagpur",Nagpur,2583559,eng_acet@rediffmail.com,www.anjumanengg.edu.in,Aamir Siddiqui,6604502,Un-Aided,Non-Autonomous
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Nagpur,Rural,"Agnihotri College Campus, Bapujiwadi, Ramnagar, Wardha ",Wardha,232552,agisspace2007@gmail.com,www.sspace.ac.in,MR.GAJANAN DANDADE,250007,Un-Aided,Non-Autonomous
"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur,Urban,"Harpur Nagar, Umrer Road, Nagpur",Nagpur,2710281,principalpbcoe@gmail.com,www.bcce.ltjss.net,Mr. V. D. Barapatre,2710282,Un-Aided,Non-Autonomous
"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur ",Nagpur,Rural,"Opp. Lata Mangeshkar Hospital, Hingana Road, Nagpur",Nagpur,232545,pigce.principal@gmail.com,www.pice.ltjss.net,Mr. Sachin Khedikar,232545,Un-Aided,Non-Autonomous
"KDKs Shrimati Rajashri Mulak College of Engineering for Womens, Nagpur",Nagpur,Urban,"KDK College Campus, Great Nag Road, Nandanvan, Nagpur ",Nagpur,2716411,principal_srmcew@yahoo.com,www.srmcew.edu.in,Mr. H V Sondawale,2714750,Un-Aided,Non-Autonomous
"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur",Nagpur,Rural,"146,149,150 & 153,Nagpur Katol Highway, Khapri(Kothe),Tal.Kalmeshwar, Nagpur",Nagpur,0,infonuva@gmail.com,www.nuvaedu.com,Abhijeeth Nair,661105,Un-Aided,Non-Autonomous
"Shree Bapuraoji Deshmukh Foundation, Suresh Deshmukh College of Engineering, Selukate, Wardha",Nagpur,Rural,"Selukate, Survey No. 161, Mauje Selu Kate, Dist. Wardha ",Wardha,282333,princi.sdces@gmail.com,www.sdce.edu.in,Mr. K.D. Fartade,282533,Un-Aided,Non-Autonomous
"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur",Nagpur,Rural,"Wanhadongri, Hingna Road, Nagpur ",Nagpur,242406,svssngp@gmail.com,www.svsscer.edu.in,Mrs.Lucky Chandekar,242406,Un-Aided,Non-Autonomous
"Sardar Patel Memorial Society's Namdevrao Poreddiwar College of Engineering and Technology, Gadchiroli",Nagpur,Rural,"At Mouza Boldi, Dhanopra Road, Tal & Dist. Gadchiroli",Gadchiroli,237862,principal.ncet@gmail.com,www.npcet.ac.in,Vinod Dhamange,237861,Un-Aided,Non-Autonomous
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati
",Nagpur,Rural,"Near Village Lonara, Nagpur Road, Badravati Dist. Chandrapur ",Chandrapur,230723,mdyergude@yahoo.com,www.sscet.in,MR.J.S. TRIPATI,230723,Un-Aided,Non-Autonomous
"Nav Disha Education Soc, Acharya Vinoba Bhave Institute of Technology ,Mauza-Pawnar,Wardha",Nagpur,Rural,"At Post Pavanar, Dist. Wardha",Wardha,93733950,avbit2008@rediffmail.com,www.abvit.org,Pradip umate,93733950,Un-Aided,Non-Autonomous
"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur",Nagpur,Urban,"Khasara No.8/1, Mohgaon, Wardha Road, Tal. & Dist. Nagpur",Nagpur,6648252,vidarbhabuss@yahoo.co.in,www.agpce.com,Liladhar Bawane,645412,Un-Aided,Non-Autonomous
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur,Rural,"Dahegaon, Kalmeshwar Road, Nagpur",Nagpur,2234333,gniemnagpur@gmail.com,www.gniem.ac.in,Shri. Rajendra Khobe,661450,Un-Aided,Non-Autonomous
"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)
",Nagpur,Rural,"Nagthana Road, Near Bypass Highway Road, Sindhi (Meghe). Wardha ",Wardha,240527,ajayshelke.000@rediffmail.com,www.agnihotrigroup.org,Gajanan A. Dandade,250152,Un-Aided,Non-Autonomous
"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",Nagpur,Urban,"Shri Nasikraoji Tirpude Marg,Civil Lines ,Sadar, Nagpur",Nagpur,2550032,tirpudehmct@gmail.com,www.tirpudehmct.org,VINOD MESHRAM,2550695,Un-Aided,Non-Autonomous
"Jai Mahakali Shikshan Sanstha's Agnihotri School of Technology, Ramnagar, Wardha",Nagpur,Rural,"Ramnagar, Wardha , 442001",Wardha,252888,ast695@rediffmail.com,www.astwardha.in,Mr. Amol V. Nandedkar,252888,Un-Aided,Non-Autonomous
"Late Madhukarrao Deshmukh Education Soceity's Avdhoot Diploma College Of Engineering, Mouza, Bhojapur",Nagpur,Rural,"Mauza Bhojapur, P.H. No.115, Sur. No.6, Kuhi, Nagpur 400001",Nagpur,220021,avdootpoly@rediffmal.com,lmdes.org.in,Nitin Madhukarrao Deshmukh,220021,Un-Aided,Non-Autonomous
"Krushna Sahayogi Tantra Shikshan Sanstha, Chatrapati Shivaji Institute Of Technology, Deori, Gondia",Nagpur,Rural,"Shivaji Campus,At.Post.Th.Deori(Chichgadh Road) Gondia , 441901",Gondia,225631,kstsscsit@rediffmail.com,www.kstsscsit.org,Chittaranjan girhepuje,225631,Un-Aided,Non-Autonomous
"Sikh Education Society's Gurunanak Technical Institute of Pharmacy, Nagpur",Nagpur,Urban,"Mauza Nari, Near Dixit Nagar, Kh. No. 81/1, C.P. Foundry,Pili Nadi Nagpur , 440026",Nagpur,2242017,gnti1983@yahoo.com,www.gntinagpur,Harmindersingh Huda,2633854,Un-Aided,Non-Autonomous
" V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur,Rural,"Dhutte village , Near Dongargaon, Wardha Road, Nagpur",Nagpur,645689,vmietnag@gmail.com,www.vmit.org.in,Liladhar Bawane,6650243,Un-Aided,Non-Autonomous
"ITM College of Engineering, Nagpur",Nagpur,Rural,"Near Madhi Mandir, Ghorpad Road, Kamptee, Dist-Nagpur",Nagpur,9881713211,prasadv@itmnagpur.ac.in,www.itmnagpur.ac.in,P.R.Velankar,7109270273,Un-Aided,Non-Autonomous
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara ",Nagpur,Urban,"N.H.6 Shahapur,Bhandara",Bhandara,7709967710,principalmietb@rediffmail.com,www.mietbhandara.ac.in,CHAKRADHAR KAHALKAR,9975591177,Un-Aided,Non-Autonomous
"Vidya Niketan Institute of Engineering and Technology, Nagpur",Nagpur,Urban,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur",Nagpur,277088,principal@vniet.org,www.vniet.org,Prof. S. D. Ninawe,277088,Un-Aided,Non-Autonomous
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur,Rural,"Mouje Sukhali (Gupchup), Tal. Hingna  Dist. Nagpur",Nagpur,94230551,office@cumminscollege.edu.in,www.cumminscollege.edu.in,Mr. Pradeep  Joshi,96576670,Un-Aided,Non-Autonomous
"G.H.Raisoni Academy of Engineering & Technology, Nagpur",Nagpur,Urban,"Shraddha Park, Off Hingna-Wadi Link Road, Nagpur",Nagpur,237688,ghraetnag@raisoni.net,www.ghraet.raisoni.net,Prashant Awachat,237688,Un-Aided,Non-Autonomous
"Indian Instiutute of Fire Engineering, Nagpur",Nagpur,Urban,"Makardhokda Katol Road,Near VeerChakra Colony, Nagpur  440013",Nagpur,2570733,fireinstitute96@gmail.com,www.firecollegenagpur.in,milind chimurkar,2574129,Un-Aided,Non-Autonomous
"Maharashtra Shikshan Prasarak Mandals,Sommaya Diploma In Engineering, Wadgaon Dist Chandrapur",Nagpur,Urban,Wadgaon Dist Chandrapur   442402,Chandrapur,271252,somayyamspm@gmail.com,www.somayyapolytechnic.com,Rajesh.P.Bisan,271232,Un-Aided,Non-Autonomous
"Navneet Bahuuddeshya Sanstha, Kinkar Institute Of Technology,Seloo,Dist.Wardha",Nagpur,Rural,"Rehnki Road,Seloo,Dist.Wardha ",Wardha,220240,principal.kit4612@gmail.com,www.kitseloo.org,Mr.Dipak.Dhodre,220240,Un-Aided,Non-Autonomous
"Suryodaya College of Engineering & Technology, Nagpur
",Nagpur,Urban,"Survey No. 117/1 & 117/3 A, Vihirgaon, Nagpur ",Nagpur,276282,scetngp@gmail.com,www.scetngp.com,Mr. Manoj N. Guhe,276282,Un-Aided,Non-Autonomous
"Bajaj Institute of Technology, Wardha",Nagpur,Rural,"Arvi Road, in Front of Ramkrishna Bajaj Agriculture College, Pipri, Wardha ",Wardha,9823382851,shikshamandal@gmail.com,www.bit.shikshamandal.org,Mr. Parag Kombe,255770,Un-Aided,Non-Autonomous
"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon  ",Nashik,Urban,"P.B.No. 80, Umavinagar, Jalgaon",Jalgaon,2258181,jbnaik@nmu.ac.in,www.nmu.ac.in,Prof. S. A. Raut,2257441,University Department,Non-Autonomous
"Government College of Engineering, Jalgaon",Nashik,Rural,"Opp.Govt  I.T. I. National Highway No-6, Jalgaon ",Jalgaon,2281522,princoej@rediffmail.com,www.gcoej.ac.in,Smt. S A Patil,2281522,Government,Autonomous
"Mahatma Gandhi Taluka Shikshan Mandal's Sharadchandrika S. Patil Inst of Technology, Chopda",Nashik,Urban,"CHOPDA Jalgaon , 425107",Jalgaon,220700,dpharmacychopda@gmail.com,,Shri. S.J.Patil,220500,Government-Aided,Non-Autonomous
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Nashik,Urban,"SSVP Sansthas B S Deore College of Engineering ,M.B.A.Department, Dhule",Dhule,284300,princi.ssvps@gmail.com,www.ssvpsengg.ac.in,Prof. Kunal S. Patil,272713,Un-Aided,Non-Autonomous
